team_uri,team_name,stadium,founded
http://dbpedia.org/resource/1996–97_Sunderland_A.F.C._season,1996–97 Sunderland A.F.C. season,http://dbpedia.org/resource/Roker_Park,Unknown
http://dbpedia.org/resource/1996–97_Tottenham_Hotspur_F.C._season,1996–97 Tottenham Hotspur F.C. season,http://dbpedia.org/resource/White_Hart_Lane,Unknown
http://dbpedia.org/resource/1996–97_West_Ham_United_F.C._season,1996–97 West Ham United F.C. season,http://dbpedia.org/resource/Boleyn_Ground,Unknown
http://dbpedia.org/resource/1996–97_Wimbledon_F.C._season,1996–97 Wimbledon F.C. season,http://dbpedia.org/resource/Selhurst_Park,Unknown
http://dbpedia.org/resource/1997–98_Arsenal_F.C._season,1997–98 Arsenal F.C. season,http://dbpedia.org/resource/Arsenal_Stadium,Unknown
http://dbpedia.org/resource/1997–98_Aston_Villa_F.C._season,1997–98 Aston Villa F.C. season,http://dbpedia.org/resource/Villa_Park,Unknown
http://dbpedia.org/resource/1997–98_Barnsley_F.C._season,1997–98 Barnsley F.C. season,http://dbpedia.org/resource/Oakwell,Unknown
http://dbpedia.org/resource/1997–98_Blackburn_Rovers_F.C._season,1997–98 Blackburn Rovers F.C. season,http://dbpedia.org/resource/Ewood_Park,Unknown
http://dbpedia.org/resource/1997–98_Bolton_Wanderers_F.C._season,1997–98 Bolton Wanderers F.C. season,http://dbpedia.org/resource/Toughsheet_Community_Stadium,Unknown
http://dbpedia.org/resource/1997–98_Chelsea_F.C._season,1997–98 Chelsea F.C. season,Unknown,Unknown
http://dbpedia.org/resource/1997–98_Coventry_City_F.C._season,1997–98 Coventry City F.C. season,http://dbpedia.org/resource/Highfield_Road,Unknown
http://dbpedia.org/resource/1997–98_Crystal_Palace_F.C._season,1997–98 Crystal Palace F.C. season,http://dbpedia.org/resource/Selhurst_Park,Unknown
http://dbpedia.org/resource/1997–98_Derby_County_F.C._season,1997–98 Derby County F.C. season,http://dbpedia.org/resource/Pride_Park_Stadium,Unknown
http://dbpedia.org/resource/1997–98_Everton_F.C._season,1997–98 Everton F.C. season,http://dbpedia.org/resource/Goodison_Park,Unknown
http://dbpedia.org/resource/1997–98_Leeds_United_A.F.C._season,1997–98 Leeds United A.F.C. season,http://dbpedia.org/resource/Elland_Road,Unknown
http://dbpedia.org/resource/1997–98_Leicester_City_F.C._season,1997–98 Leicester City F.C. season,http://dbpedia.org/resource/Filbert_Street,Unknown
http://dbpedia.org/resource/1997–98_Liverpool_F.C._season,1997–98 Liverpool F.C. season,http://dbpedia.org/resource/Anfield,Unknown
http://dbpedia.org/resource/1997–98_Newcastle_United_F.C._season,1997–98 Newcastle United F.C. season,http://dbpedia.org/resource/St_James'_Park,Unknown
http://dbpedia.org/resource/1997–98_Sheffield_Wednesday_F.C._season,1997–98 Sheffield Wednesday F.C. season,Unknown,Unknown
